movie_title,genres,content,rating,movie_id,review_id,author,created_at,cleaned_text,category,annotator1,annotator2,ann1_label,ann2_label,ground_truth
Shelter,"['Action', 'Crime', 'Thriller']","Ive always loved the idea of living in a remote Scottish lighthouse where the weather could close in and cut me off from everything and everyone - with, of course, wifi and all the conveniences of home. Mason (Jason Statham) has had the same idea - only minus the mod cons, and survives frugally thanks to a weekly delivery from a trawler man (Michael Schaefer) and his young neice Jessie (Bodhi Rae Breathnach). She takes pity on this lonely stranger, tries to engage with him and then on one very stormy day gets more than she bargained for ending up stuck with him. Shes injured, so he reluctantly sets off to the mainland where he finds a remarkably well stocked shop. What we know from this short trip is that he was also picked up by the omnipresent THEA. That is a covert government snooping system that illegally hacks into everyones kit and enables the unscrupulous Manafort (the entirely unmenacing Billy Nighy) and his MI6 snoops to keep track on everyone. His face initiates a full scale alert and swiftly his island has some heavily armed unwelcome visitors. Of course, they are no match for his ninja skills, but now he has the young Jessie to worry about too as he sets off to keep her safe and seek his revenge on the puppet-master about whom we gradually learn more. Aside from drastically increasing the murder rate of Scotlands (well Irelands, actually) rural fishing/farming/forestry communities, this is a standard vehicle for a Statham who didnt really need to learn any lines and who really only reprises roles weve seen from him plenty of times before. Its one set-piece combat scene, or car chase, followed by another before it culminates in a conclusion that makes me glad my nightclubbing days are over. Breathnach offers quite a natural performance and he is quite a charismatic actor, is Mr. Statham - just don't be surprised by the predicable but enjoyable enough limitations of what this offers.",6.0,1290821,69845a561eb4bd05d874ad1b,CinemaSerf,2026-02-05T08:52:38.056Z,ive always loved idea living remote scottish lighthouse weather could close cut everything everyone course wifi conveniences home mason jason statham idea minus mod cons survives frugally thanks weekly delivery trawler man michael schaefer young neice jessie bodhi rae breathnach takes pity lonely stranger tries engage one stormy day gets bargained ending stuck shes injured reluctantly sets mainland finds remarkably well stocked shop know short trip also picked omnipresent thea covert government snooping system illegally hacks everyones kit enables unscrupulous manafort entirely unmenacing billy nighy mi6 snoops keep track everyone face initiates full scale alert swiftly island heavily armed unwelcome visitors course match ninja skills young jessie worry sets keep safe seek revenge puppetmaster gradually learn aside drastically increasing murder rate scotlands well irelands actually rural fishingfarmingforestry communities standard vehicle statham didnt really need learn lines really reprises roles weve seen plenty times its one setpiece combat scene car chase followed another culminates conclusion makes glad nightclubbing days breathnach offers quite natural performance quite charismatic actor mr statham dont surprised predicable enjoyable enough limitations offers,"Action, Crime, Thriller",2.0,1.0,positive,positive,positive
Shelter,"['Action', 'Crime', 'Thriller']",,6.0,1290821,6991409c02122c8a202871e8,MovieGuys,2026-02-15T03:42:20.818Z,shelter one notable exception rather uninspiring action thriller ill start saying like jason statham really money shining light otherwise rather dull film bodhi rae breathnach shines young girl stratham sets save gets embroiled past life world assassination espionage looking beyond performance aspects film feel leaden forced predictable pacing leadin thats far drawn core action film summary shelter offer shining moments showcase new talent little else worthy mention mediocre watch,"Action, Crime, Thriller",1.0,1.0,positive,positive,positive
The Bluff,"['Action', 'Thriller']","I recently watched **The Bluff (2026)** on Prime Video, and here is my honest take. If you are going into this expecting a groundbreaking story, you might be disappointed. Right from the trailer, the plot felt quite predictable, and unfortunately, the movie follows that same path without many surprises.

However, where this movie truly shines is the **Action**. If you are a fan of brutal, gore-filled, and gritty combat, then this is definitely worth a watch. The visuals are top-notch and the cinematography adds a great atmosphere to the overall experience.

There is a twist regarding the name **""Maryam""** and the **""Bloody Mary""** connection, but honestly, it didnt feel impactful enough to save the weak storytelling. Its a decent one-time watch mainly for the technical execution and the stunts. Id recommend it purely for the action, but dont expect it to stay with you for long. A solid 6 out of 10 for the carnage!",6.0,799882,69a09e10db0e43afc3e8699d,Kashifzia,2026-02-26T19:25:04.400Z,recently watched bluff 2026 prime video honest take going expecting groundbreaking story might disappointed right trailer plot felt quite predictable unfortunately movie follows path without many surprises however movie truly shines action fan brutal gorefilled gritty combat definitely worth watch visuals topnotch cinematography adds great atmosphere overall experience twist regarding name maryam bloody mary connection honestly didnt feel impactful enough save weak storytelling its decent onetime watch mainly technical execution stunts id recommend purely action dont expect stay long solid 6 10 carnage,"Action, Thriller",-2.0,-1.0,negative,negative,negative
The Bluff,"['Action', 'Thriller']","Despite enjoying the movie, I have to give it less than 5/10 because of the atrocious writing.

WHAT THE ACTUAL !@#$ DID I JUST WATCH?

ARE YOU TRYING TO ROT MY BRAIN?!

**SPOILERS AHEAD:**

WHY THE FLYING !@#$ DO NONE OF THE PIRATE HENCHMEN KNOW WHO THEY'RE AFTER?

WHY THE FLYING !@#$ DID CAP'N URBAN NOT TELL QUARTERMASTER MORRISON WHAT HIS PLAN WAS?!

I'm done.

This was too much stupid. The problem ain't that it's predictable, it's that the characters are all stupid.

Monsieur Karl, please just save Mortal Kombat from the literal plot armor garbage that was the first movie.",4.0,799882,69aa05e51208db4d3154b21e,Sejian,2026-03-05T22:38:29.424Z,despite enjoying movie give less 510 atrocious writing actual watch trying rot brain spoilers ahead flying none pirate henchmen know theyre flying capn urban tell quartermaster morrison plan im done much stupid problem aint predictable characters stupid monsieur karl please save mortal kombat literal plot armor garbage first movie,"Action, Thriller",-3.0,-3.0,negative,negative,negative
War Machine,"['Action', 'Science Fiction', 'Thriller']","March 9, 2011 (Holy !@#$ I feel old.)

> When once distant UFOs become a terrifying threat and an alien invasion force begins attacking Earths major costal and riverside cities, a U.S Marine staff sergeant and his team are sent into battle only to find they must take it upon themselves to defeat an unknown enemy and protect what remains of Los Angeles.

Look, I enjoyed Battle: Los Angeles (2011) for what it was. It was a'ight. Likewise, this movie is also a'ight.

I will say though, that the U.S. military propaganda feels more in your face here.

Also, Alan's acting feels off sometimes, especially in his final speech.",6.0,1265609,69ab708d81c7289c60e336d0,Sejian,2026-03-07T00:25:49.652Z,march 9 2011 holy feel old distant ufos become terrifying threat alien invasion force begins attacking earths major costal riverside cities us marine staff sergeant team sent battle find must take upon defeat unknown enemy protect remains los angeles look enjoyed battle los angeles 2011 aight likewise movie also aight say though us military propaganda feels face also alans acting feels sometimes especially final speech,"Action, Science Fiction, Thriller",0.0,0.0,neutral,neutral,neutral
Return to Silent Hill,"['Mystery', 'Drama', 'Horror']","When it takes over thirty minutes for a film to go anywhere even remotely interesting, for my money, something is wrong.

""Return to Silent Hill"" lacks both pace and scares; in short, I found it boring. It's not the actors' fault; they hand in decent performances. Its story, in my opinion, needed to be reworked to make it more engaging and exciting.

In summary, acting is fine, but I found the story lackadaisical and dull. Can't recommend this one.",4.0,680493,6976f685e1d733d98c1a136c,MovieGuys,2026-01-26T05:07:17.558Z,takes thirty minutes film go anywhere even remotely interesting money something wrong return silent hill lacks pace scares short found boring actors fault hand decent performances story opinion needed reworked make engaging exciting summary acting fine found story lackadaisical dull cant recommend one,"Mystery, Drama, Horror",-3.0,-1.0,negative,negative,negative
Return to Silent Hill,"['Mystery', 'Drama', 'Horror']","Ok, so I dont remember going to Silent Hill first time around (in 2006), but after this I am certain I will never go again. At least Christopher Gans had enough wits about him to cast someone easy on the eye in the lead, but even the ashen-looking Jeremy Irvine couldnt breathe any life into this. Hes James who meets up with Mary (Hannah Emily Anderson) after he managed to hit her luggage with his car. Thereafter they flirt, court, move in together, split up - but as far as this plot is concerned, in no coherent order and only delivered to us by way of flashback. Its only as he returns to find her again he discovers the town is now the victim of what looks like a nearby meteor strike and the place devoid of all but some curious humanoid creatures that definitely mean him harm. Can he put the pieces of this emotionally confused jigsaw together? Do we care? If this were just to have been a monster film with Irvine in a semi-psychotic fight for survival, then perhaps it might have worked better. It isnt. The timelines are all over the place; characters appear and the disappear seemingly quite randomly and the psychological impact of the story is so compromised as to render this little better than a mess that looks every inch an incremental video game put onto a big screen. Some of the creativity behind the visual effects is to be commended but the story is completely lacking in either characterisation or substance. It will kill some time on the telly in October, maybe, but otherwise this has little to recommend it to anyone.",5.0,680493,697b95dea8c024bc53a08e55,CinemaSerf,2026-01-29T17:16:14.261Z,ok dont remember going silent hill first time around 2006 certain never go least christopher gans enough wits cast someone easy eye lead even ashenlooking jeremy irvine couldnt breathe life hes james meets mary hannah emily anderson managed hit luggage car thereafter flirt court move together split far plot concerned coherent order delivered us way flashback its returns find discovers town victim looks like nearby meteor strike place devoid curious humanoid creatures definitely mean harm put pieces emotionally confused jigsaw together care monster film irvine semipsychotic fight survival perhaps might worked better isnt timelines place characters appear disappear seemingly quite randomly psychological impact story compromised render little better mess looks every inch incremental video game put onto big screen creativity behind visual effects commended story completely lacking either characterisation substance kill time telly october maybe otherwise little recommend anyone,"Mystery, Drama, Horror",-4.0,-3.0,negative,negative,negative
Return to Silent Hill,"['Mystery', 'Drama', 'Horror']","I watched original Silent Hill and it was a great movie. I have also played Silent Hill 2 which was a great game as well in its genre and now I watched this movie too. Well, what can I say about this movie... One thing they did well is resemblance to the game. It looks very similar and they did good job mimicking it, but they also made some story changes in movie, however the problem with this movie is that, when you're playing a game, you're into action and it's scary and it's interesting, but when you watch it like a movie, it's boring, because you're not action and for the movie to be great, it needs interesting story and that's why this movie didn't turn out great. It felt cheap to be honest. I don't know what exactly gave me this feeling, but that's how I felt about it. Maybe CGI, maybe lack of cast (it was just a few actors in total involved in this movie). So, I'm giving this movie 5/10, which means isn't not bad, but it's not good either, it's somewhere in between.",5.0,680493,69a3208f851f892ff2c17395,Dean,2026-02-28T17:06:23.905Z,watched original silent hill great movie also played silent hill 2 great game well genre watched movie well say movie one thing well resemblance game looks similar good job mimicking also made story changes movie however problem movie youre playing game youre action scary interesting watch like movie boring youre action movie great needs interesting story thats movie didnt turn great felt cheap honest dont know exactly gave feeling thats felt maybe cgi maybe lack cast actors total involved movie im giving movie 510 means isnt bad good either somewhere,"Mystery, Drama, Horror",-1.0,-1.0,negative,negative,negative
Return to Silent Hill,"['Mystery', 'Drama', 'Horror']","My quick rating - 4.9/10. Another Bloody Disgusting logo to begin with, so you never quite know what you're going to get. Sometimes that logo means ""grab the popcorn,"" and other times it means ""grab your phone"". Return to Silent Hill lands somewhere in between.

His disjointed memories and guilt bring painter James Sunderland (Jeremy Irvine) to Room 318 after a handwritten letter from his lost love, Mary Crane (Hannah Emily Anderson) is slid under his door. Seeking closure, he heads to their special place in Silent Hill, now a desolate shell of a town that apparently no real estate agent dared visit in about twenty years. The more James searches for Mary, the more his grief warps the world into a psychological horror show, complete with shifting dimensions and monsters. The more James seeks his lost love, the more it seems to be a setup.

Visually, the film gets a lot right. The grim, darker contrasts of Silent Hill work nicely against the more colorful flashbacks, and the production design leans heavily into the series signature oppressive atmosphere. The backgrounds often look downright trippy, and the creatures are genuinely unsettling in that classic Silent Hill way, like someone turned therapy notes into practical effects. I recently fired up Silent Hill 2 in VR and could immediately tell this follows the same story path, though I only played briefly, so I wont be diving into the endless debate about what the film changed or left out. Im sure the hardcore fans are already handling that across the internet with surgical precision.

Laura, played by Evie Templeton, is easily the standout. She is wonderfully creepy and unpredictable, and injects some much-needed personality into a film where most of the characters feel like background NPCs waiting for their dialogue prompt. That isn't a knock on Anderson at all, since she has her hands full with multiple characters in this flick and juggles them quite well.

Oddly enough, this reminded me more of Silent Hill: Revelation than the original Silent Hill film. It never wraps up a complete movie, and the plot often feels paper-thin despite some heavy psychological themes. The atmosphere and scenery do most of the hard work, while the story struggles to find a direction. You can see where the film wants to explore trauma and guilt, but the pieces never fit together into a complete picture.

Director Christophe Gans returns after gracing us with the first Silent Hill, but this time he doesnt quite recapture the same magic. Visually, hes still on target, but the storytelling feels incomplete, like a puzzle missing just enough pieces to be tossed in the trash.

Then again, if youve ever played a Silent Hill game or watched the previous films, this may all feel strangely familiar. Great mood, deliberate pacing, and a journey that never quite clarifies its destination. It isnt awful. Just another haunting trip through Silent Hill that looks the part but never fully finds its soul.",0.0,680493,69a66251a56e75205c159ff0,jackmeat,2026-03-03T04:23:45.502Z,quick rating 4910 another bloody disgusting logo begin never quite know youre going get sometimes logo means grab popcorn times means grab phone return silent hill lands somewhere disjointed memories guilt bring painter james sunderland jeremy irvine room 318 handwritten letter lost love mary crane hannah emily anderson slid door seeking closure heads special place silent hill desolate shell town apparently real estate agent dared visit twenty years james searches mary grief warps world psychological horror show complete shifting dimensions monsters james seeks lost love seems setup visually film gets lot right grim darker contrasts silent hill work nicely colorful flashbacks production design leans heavily series signature oppressive atmosphere backgrounds often look downright trippy creatures genuinely unsettling classic silent hill way like someone turned therapy notes practical effects recently fired silent hill 2 vr could immediately tell follows story path though played briefly wont diving endless debate film changed left im sure hardcore fans already handling across internet surgical precision laura played evie templeton easily standout wonderfully creepy unpredictable injects muchneeded personality film characters feel like background npcs waiting dialogue prompt isnt knock anderson since hands full multiple characters flick juggles quite well oddly enough reminded silent hill revelation original silent hill film never wraps complete movie plot often feels paperthin despite heavy psychological themes atmosphere scenery hard work story struggles find direction see film wants explore trauma guilt pieces never fit together complete picture director christophe gans returns gracing us first silent hill time doesnt quite recapture magic visually hes still target storytelling feels incomplete like puzzle missing enough pieces tossed trash youve ever played silent hill game watched previous films may feel strangely familiar great mood deliberate pacing journey never quite clarifies destination isnt awful another haunting trip silent hill looks part never fully finds soul,"Mystery, Drama, Horror",-2.0,-2.0,negative,negative,negative
Scream 7,"['Horror', 'Mystery', 'Crime']","Full review: https://movieswetextedabout.com/scream-7-movie-review-the-disheartening-reality-of-a-sagas-first-true-failure/

Rating: D+

""Scream 7 reveals itself as a disappointing sequel in a saga that has never failed so evidently, demonstrating a glaring creative exhaustion. Its an exercise in nostalgia that, by trying to criticize the dependency on the past through AI, ends up becoming a victim of its own lack of vision and originality. When the mask falls and the motives are revealed, what remains is only the image of a franchise that seems to be fighting against its own obsolescence without knowing how to truly reinvent itself. Without its ability to satirize the real world and shock through genuine creativity, this seventh chapter gets lost in its own references, forgetting that for a story to stay alive, its not enough to just replicate the echoes of what came before.""",3.0,1159559,699f56fc4f634924d9f2009b,Manuel S?o Bento,2026-02-25T20:09:32.890Z,full review httpsmovieswetextedaboutcomscream7moviereviewthedishearteningrealityofasagasfirsttruefailure rating scream 7 reveals disappointing sequel saga never failed evidently demonstrating glaring creative exhaustion its exercise nostalgia trying criticize dependency past ai ends becoming victim lack vision originality mask falls motives revealed remains image franchise seems fighting obsolescence without knowing truly reinvent without ability satirize real world shock genuine creativity seventh chapter gets lost references forgetting story stay alive its enough replicate echoes came,"Horror, Mystery, Crime",-2.0,-2.0,negative,negative,negative
